epochs,walk_length,window,n_walks,d,neg_samples,mean_auc,std_auc,min_auc,max_auc,n_windows,time_seconds,error,auc_2000_2005,auc_2005_2010,auc_2010_2015,auc_2015_2020
5,20,3,10,32,5,0.6977748677774935,0.008929388166364948,0.6831146557904516,0.7058348289625289,4,104.50251317024231,,0.7040134831792025,0.6831146557904516,0.6981365031777906,0.7058348289625289
5,20,3,10,32,10,0.697599970570922,0.008845109012538342,0.6830444012933243,0.7054345153469836,4,179.90270233154297,,0.7038856357883367,0.6830444012933243,0.6980353298550432,0.7054345153469836
5,20,10,10,32,5,0.6972342952550445,0.008781076463986619,0.6827795946810035,0.7050990426137174,4,296.13554096221924,,0.7033508719472741,0.6827795946810035,0.6977076717781832,0.7050990426137174
5,20,5,20,32,5,0.6980804225749546,0.008997184023850078,0.6833576918173176,0.7063681084553355,4,345.0211594104767,,0.7042684535505346,0.6833576918173176,0.6983274364766306,0.7063681084553355
5,30,3,20,32,5,0.6999369812284358,0.009097331211634871,0.6850962713972343,0.7082455415353378,4,342.12447142601013,,0.7063993358066758,0.6850962713972343,0.7000067761744952,0.7082455415353378
5,30,7,10,32,5,0.6977020453930656,0.008932144826925647,0.6830433337236204,0.7057948740187598,4,367.00329065322876,,0.7039180511651583,0.6830433337236204,0.6980519226647236,0.7057948740187598
5,40,5,10,32,5,0.6984094099076695,0.008972832013841275,0.6837196236396117,0.706627951546118,4,373.82688331604004,,0.7046261483391496,0.6837196236396117,0.6986639161057986,0.706627951546118
5,20,3,10,32,15,0.6972552708748387,0.008723406683631016,0.6828458496758834,0.7046064547126225,4,210.78902888298035,,0.7037685658440305,0.6828458496758834,0.6978002132668185,0.7046064547126225
5,20,3,10,64,5,0.6974770935010257,0.009004470619341601,0.682686853757646,0.7056023669373976,4,103.69396948814392,,0.7037540474490113,0.682686853757646,0.6978651058600482,0.7056023669373976
5,20,10,10,32,10,0.6970779551613946,0.009085230554330965,0.6821277490180796,0.7053057494907662,4,416.7620222568512,,0.7032996665612137,0.6821277490180796,0.6975786555755188,0.7053057494907662
5,20,3,10,64,10,0.6972897020979362,0.00863941348606079,0.6829884569697222,0.7044491185601336,4,155.88251566886902,,0.7037993361257011,0.6829884569697222,0.6979218967361878,0.7044491185601336
5,30,3,20,32,10,0.6999942015593797,0.009078203703478628,0.6851507508036374,0.7082124214309665,4,482.09461069107056,,0.706456509017936,0.6851507508036374,0.700157124984979,0.7082124214309665
