epochs,walk_length,window,n_walks,d,neg_samples,mean_auc,std_auc,min_auc,max_auc,n_windows,time_seconds
3,20,5,10,64,5,0.6979505790262233,0.008821506766918721,0.683460696918087,0.7059946535176664,4,75.80772471427917
3,20,5,10,64,10,0.6979131013902455,0.008680201372130105,0.683581249308499,0.7054543745083022,4,111.11364316940308
3,20,5,10,64,15,0.6974990340349854,0.008764163471981015,0.683012555286286,0.7047386764396755,4,146.62666058540344
3,20,5,10,128,5,0.697462490586383,0.008668779851719065,0.6831362073964906,0.704693068028384,4,77.03720092773438
3,20,5,10,128,10,0.697124710764788,0.008831262643408357,0.6824836223884172,0.704391074795278,4,111.71036124229431
3,20,5,10,128,15,0.6977793441925122,0.008851771957157212,0.6832088540107509,0.7054620885548922,4,146.96116828918457
3,20,5,15,32,5,0.6974661376824256,0.00890478996998123,0.6827767781206977,0.7052320995551955,4,112.8326096534729
3,20,5,15,32,10,0.6974828669862926,0.00897268216246768,0.6827483750539517,0.7054841541762653,4,165.19896793365479
3,20,5,15,32,15,0.6973823231373707,0.008918944466530958,0.6826890205751839,0.7052836611681531,4,218.05055379867554
3,20,5,15,64,5,0.6973521467948036,0.0089326008006294,0.6826951686681375,0.7053269850666616,4,112.41657376289368
3,20,5,15,64,10,0.6974276062980478,0.008667137588362085,0.6831086020367958,0.7048459462633738,4,165.43388319015503
3,20,5,15,64,15,0.697083996218399,0.008785254956326366,0.6826047434276449,0.704672440427665,4,217.95824360847473
3,20,5,15,128,5,0.6969436313984709,0.008765948053639989,0.6823759900152322,0.7038848757427811,4,113.18761086463928
3,20,5,15,128,10,0.697620159362861,0.008914749610614833,0.6829588919939742,0.7056546183050871,4,166.45230841636658
3,20,5,15,128,15,0.6971550702291875,0.008838939134941153,0.6825780936378953,0.7048921250899027,4,220.27050614356995
3,20,5,20,32,5,0.6973584054765603,0.008956288400843908,0.6826773633066452,0.705578312518893,4,147.9221465587616
3,20,5,20,32,10,0.6975707560819653,0.008845977966840632,0.683025415474197,0.7055873669270559,4,224.8803505897522
3,20,5,20,32,15,0.6976264512040897,0.008916149634364151,0.6829958477567012,0.7057685136987237,4,289.89620447158813
3,20,5,20,64,5,0.6974119028166519,0.008911169385851686,0.6827713271525498,0.7054684415317122,4,149.23224782943726
3,20,5,20,64,10,0.6975349198519375,0.008903117570797653,0.6829182835536752,0.7055370207459354,4,219.6974847316742
3,20,5,20,64,15,0.6975181130449065,0.008889310207693865,0.6829233038871914,0.7056156309915411,4,289.73167538642883
3,20,5,20,128,5,0.6975883043545309,0.00892594067647489,0.6829430374955368,0.705731459409527,4,149.72237753868103
3,20,5,20,128,10,0.6975495666604382,0.008825661940701281,0.6830002185662742,0.7052457035932186,4,220.41084361076355
3,20,5,20,128,15,0.697551347748178,0.008849179081763412,0.6830630126385999,0.7054875776074989,4,290.93404030799866
3,20,5,30,32,5,0.6982753986635468,0.008935890620613578,0.6836390702620098,0.7064885272066179,4,221.85176467895508
3,20,5,30,32,10,0.6981160550642299,0.008947886644722973,0.6834631183320192,0.7062581258901832,4,327.6961627006531
3,20,5,30,32,15,0.6979779902332878,0.00906493924669428,0.6831190647013103,0.706164843595046,4,432.6167893409729
3,20,5,30,64,5,0.6979074089988171,0.008939945033162826,0.6832601193034004,0.7060186981329946,4,223.84755754470825
3,20,5,30,64,10,0.6976991942119042,0.008630563982814943,0.6834036235993297,0.7047850868480178,4,328.4608132839203
3,20,5,30,64,15,0.6979960555914486,0.008930945888963562,0.6833475810233245,0.7060911158335976,4,433.6057834625244
3,20,5,30,128,5,0.6982955475220426,0.008991569608115261,0.68360174208496,0.7066484396986782,4,222.87953281402588
3,20,5,30,128,10,0.6983858970100326,0.008994748517766509,0.6837066309725008,0.7067405043258815,4,328.49960827827454
3,20,5,30,128,15,0.6983404114901235,0.009024958145294922,0.6835699679554821,0.7066394919263896,4,435.68030524253845
3,20,7,10,32,5,0.6976526776306955,0.00877074937586094,0.6832116730038753,0.7054522613971719,4,99.10893702507019
3,20,7,10,32,10,0.6974800357611062,0.00886582332072632,0.6828782661595691,0.7052576231538719,4,145.41431140899658
3,20,7,10,32,15,0.697342460916244,0.008893749881034847,0.6826485336213488,0.704854864480301,4,191.79476690292358
3,20,7,10,64,5,0.6973806218767271,0.0087166733653183,0.6830216788965646,0.7048676288965201,4,99.21985673904419
3,20,7,10,64,10,0.697106719985182,0.009012645255883132,0.6821656785003507,0.704778231640698,4,149.66542625427246
3,20,7,10,64,15,0.6974932803575049,0.009100388699064118,0.6824611820698916,0.7055248488628643,4,191.6501715183258
3,20,7,10,128,5,0.697348184455229,0.008741766092686797,0.6828206288774248,0.704379073049979,4,99.0298171043396
3,20,7,10,128,10,0.6976704273513297,0.008850557006510665,0.6830208943061384,0.7051314350145315,4,147.75871658325195
3,20,7,10,128,15,0.697212436152793,0.008684171783762034,0.6828610073713163,0.7043504099719091,4,192.01667428016663
3,20,7,15,32,5,0.6975284042261696,0.008902834540620288,0.6828911213145064,0.7054627156503133,4,147.78801822662354
3,20,7,15,32,10,0.6972775712119206,0.008906197463810593,0.6826346119264722,0.7051682805527835,4,216.6194863319397
3,20,7,15,32,15,0.6972039219389087,0.008977487090858082,0.682417038538252,0.7050860985968251,4,287.3248245716095
3,20,7,15,64,5,0.6972997986448632,0.009112149876240833,0.6822929327395636,0.7054725981433185,4,147.13933849334717
3,20,7,15,64,10,0.6973865822885974,0.008851017679464232,0.6828437252975141,0.7053816127243095,4,216.12826991081238
3,20,7,15,64,15,0.6971375940391549,0.008916517663682564,0.6824445517340262,0.7049316741173547,4,285.1886615753174
3,20,7,15,128,5,0.6975446956952974,0.00869128433118275,0.6832258980416225,0.7051667344055246,4,147.24141335487366
3,20,7,15,128,10,0.6972734496302889,0.008595252286296387,0.6830460531127757,0.7044073032651492,4,217.1779625415802
3,20,7,15,128,15,0.697110971075555,0.008734981343699653,0.6826501801761294,0.7045674727624671,4,286.6723470687866
3,20,7,20,32,5,0.6974125198894058,0.008881672383568441,0.6828035846148564,0.705350537627349,4,194.93182015419006
3,20,7,20,32,10,0.6973573068399689,0.008938284603479427,0.6826703610884189,0.7054049825084189,4,289.438688993454
3,20,7,20,32,15,0.6974660938057686,0.008924308660863746,0.6828294277257319,0.7055969812343215,4,382.37854504585266
3,20,7,20,64,5,0.6974079092592373,0.00895835017241208,0.6827183083125908,0.7055495357725878,4,195.52828168869019
3,20,7,20,64,10,0.6974947974077677,0.008887796769043312,0.6829028382578963,0.7055180722753986,4,290.02422618865967
3,20,7,20,64,15,0.6972380973517578,0.008880633335877916,0.6826053155519156,0.7049008917707875,4,380.9326002597809
3,20,7,20,128,5,0.6975073490711772,0.008970457813339546,0.6827534307470056,0.7054882157861805,4,196.16364002227783
3,20,7,20,128,10,0.6975699562240821,0.008944209523812365,0.6829409756753594,0.705833216088856,4,288.4623785018921
3,20,7,20,128,15,0.6977272707959629,0.008920021274803236,0.6831130400127569,0.7059236386110967,4,380.8970777988434
3,20,7,30,32,5,0.6979251440963921,0.008955539545629837,0.6832265834528575,0.706039232400993,4,290.7924134731293
