auc,n_entries,n_candidates,p@10,p@20,p@50,auc_random,t_start,t_end
0.7421102155589636,37616,1070900,0.8,0.75,0.48,0.5006433632026097,2000,2005
0.7123557213112678,38188,1070298,0.3,0.25,0.32,0.4997900650907976,2005,2010
0.7268675804337407,31219,1070348,0.3,0.35,0.28,0.5013787572755796,2010,2015
0.7352536163387839,29926,1075897,0.0,0.1,0.08,0.4979540797651396,2015,2020
