country,t_start,t_end,emb_magnitude,emb_cos_complex,emb_centroid_norm,c0,d0,c1,d1,c2,d2,c3,d3,c4,d4,c5,d5,c6,d6,c7,d7,c8,d8,c9,d9,c10,d10,c11,d11,c12,d12,c13,d13,c14,d14,c15,d15,gdp_t,gdp_t5,log_gdp_t,log_gdp_growth
4,2000,2005,0.09260247040371442,0.37188211290744905,0.19456272429730026,0.11088480036189341,-0.0037739939030261155,0.032006258062594,0.00042511724427358316,0.042706577363407036,-0.016496624195869947,0.01348224105502252,-0.025490250148171835,0.003071529297305937,0.016506160139851903,-0.02699032362777513,0.016140797310669634,-0.028333777768318826,-0.01970597327880327,-0.03603098239286814,-0.003846231403477382,-0.02032358530557087,0.04148974092315451,-0.014310091613163513,-0.0045271601519270045,0.04424785035216126,0.01182912102722742,0.026122721048234647,0.009632612054600226,-0.018212642074131875,0.005070333950102566,0.029933040663014297,0.0027698170880771505,-0.01587587386783716,0.006276424054071143,-0.0011954421151354367,0.006087015147651306,308.318269746638,363.640141436773,5.731132592775109,0.16503216342570945
8,2000,2005,0.045961349715839345,0.09572887515284235,0.19335588374236695,0.11408358328057748,-0.000600284981459559,0.0648128337227417,0.005651866957503651,0.09586773415622475,0.002228577569805129,0.03206526815769547,-0.0030446272824634323,-0.03089230266995874,-0.006911036735103331,0.017617477613173425,0.011549558538048864,0.007385039553345644,0.009426122598087876,-0.00604338985993895,-0.00023682775940678767,-0.03338699085097509,-0.0028728321383680727,-0.028732655843282617,0.001478791288311413,0.013437967963940648,0.00230372886436684,-0.008153047106542403,0.0026476259007868035,-0.005350939386987521,0.0006380293611758176,0.020774736889430427,-0.002675999651515125,0.008079484251584921,0.006654971746656012,-0.006384944634430379,-0.008966843877744015,1991.91435867116,2712.86983830331,7.596851444585374,0.30891088988735227
12,2000,2005,0.12773293250113696,0.018679085083946792,0.38079487157270375,0.11148601550268052,0.012191461354776459,0.04707329560408501,-0.024086607076331937,-0.03734212216965693,-0.0021632850484455055,0.012970884689697338,0.013557321738009302,-0.012788492426407902,0.013828530967794494,0.040072413180966236,0.002058016581424349,-0.023683236144872527,0.023524436128011687,-0.026110439387961235,0.0041519546118317305,0.0961181197925325,-0.0065065447486692685,-0.06827836027663486,-0.019505037168748282,0.046501116524587736,0.006481102175488536,0.03462587781396405,-0.007705847716859074,0.0940916927811392,-0.009187449330624584,0.0029660142293056477,0.032689279604361875,0.06743758199821913,-0.011877302247998045,-0.05617353038952968,0.00043084712915957,3553.32420521991,4223.60252133943,8.175638840160971,0.17280488073574948
16,2000,2005,0.09912647099630566,-0.2828812891390785,0.1933550804426899,0.11033797929045315,-0.0007874108412789932,0.005001969653906365,-0.006672354425382526,0.031197385158151077,0.007995433557543764,-0.08084705296869135,-0.016240005840106236,0.06562280872027133,-0.029428075502529974,-0.0006102806730092353,0.003940689675623751,0.034505559297880635,-0.027126471455647484,-0.022317939806684135,0.018231908472716624,0.01477616128040741,-0.029565576783980876,0.006036752596807251,0.00726497286337024,0.01497456528485101,-0.0009633080433490895,0.006173360606862677,-0.0006220072887383526,-0.010341151299866928,0.006733878606886843,0.02406264123987253,-0.017801565166277396,0.00506146179596504,-0.004310554441742097,-0.006971447774391853,-6.986617673834013e-05,,13284.2791128875,,
20,2000,2005,0.06310121718168982,0.058257445208967425,0.2007812912322703,0.1070793710694007,0.0017287619080274264,0.014079384777233,0.006917120520682576,0.07463331675068424,-0.005417576300799823,-0.05602014148712635,0.007610180180038638,0.018492183095299545,-0.004544862059382442,-0.008994824773354946,-0.012517323203577164,0.0077879594962475766,-0.0006647381958953162,0.0022170911703395,0.00291113268733943,-0.03874791689503959,0.0022757336161064595,0.013545988303128951,-0.026129015694031178,0.015362916865276069,0.003997712825794622,0.0013536287401687685,-0.0022082927889534695,0.015612780303882832,0.011944059018954956,0.054391302370109376,-0.005552240091485215,-0.010848146291613878,0.009339148877367597,0.004913207448856218,-0.009987029002039016,34113.8334027285,40528.1938997392,10.437458252643385,0.17229490392681646
24,2000,2005,0.45818780976699264,0.012979665331711897,0.5328822341188448,0.07994350879509793,0.039007657191276496,0.09151738928438724,-0.024018021522222197,-0.03017181042859743,-0.061756606669692515,0.037805816933344435,-0.01965058756138559,0.14189096930256775,-0.07038453639026565,0.017713348819341636,-0.03711934546773421,-0.016323697391756136,-0.006348047714545158,0.047261676475483134,-0.04361655721237027,0.12354835101825934,-0.05658144949958456,-0.04454752870340847,-0.07249059623437779,-0.15711283278187563,0.1701729685779742,0.059539497064372116,-0.068177905386755,-0.014366341507162619,0.04151459328398366,0.09629104394916861,-0.0020672466151787916,0.11207006236811848,-0.07692214010116884,-0.018124226363804237,0.029947748431627633,2172.46326720494,2843.3966357968,7.683616948920627,0.26913766611814083
28,2000,2005,0.09427629795870145,-0.06573497252226661,0.20811968495903832,0.11846531156390973,-0.002835898870427553,0.02993270846723534,0.029486471414323524,0.018421589013720853,-0.009761714863260468,-0.039850394653749,0.008296277569862169,0.0587519216268249,-0.006708699957995105,0.001585153781543573,0.025679842362390112,-0.026866388350868565,0.0011038543322859952,0.0034667462271726446,0.0008913645288063285,-0.013599426083451402,-0.011676261969662647,-0.02123957023346104,0.01215906575849752,-0.01541106861867987,0.004544383881704302,-0.0032240769391869224,0.01329625138522997,0.038968012812272,0.008213113339939127,0.04900247340470322,-0.010996093971825834,0.00032738241110800585,0.0021450475135791056,-0.019538908415163134,0.010908897955137758,15961.0918359058,17301.2134317518,9.67790927943493,0.08062263915489397
31,2000,2005,0.10118443737198904,-0.10688200554441339,0.24004835695283633,0.12019789222313151,0.0006491323381325187,0.04346781966556309,-0.013294646286974035,-0.011344785698097028,0.018331247976370483,-0.03437258593665028,0.03325996551644761,0.021584826462076444,-0.013534227957706054,0.05041335157571805,-0.0009194777828946121,-0.03313473310450204,-0.02047140637039574,-0.029837365043332103,-0.0029180736608774606,0.03954467504259019,-0.0011153524366452894,-0.05980703431068173,0.00956668722635099,0.07224857374246074,0.006089309195402681,0.009863176138967835,-0.0063908428136203585,0.008041995732073266,0.02058714139491836,0.02975718918306094,-0.01685080340313025,0.017045302756582503,0.01612506388165915,-0.05114396267691518,0.00932456348936913,1504.73106706035,2674.3688564996,7.316369468232327,0.5750992217637302
32,2000,2005,0.03221629942408866,0.09289130322580724,0.2640915201030878,0.12244994787109727,0.0025392590851397168,0.014739367315679585,-0.0075368466397977675,-0.01885919091917395,-0.003429695929324964,-0.023172342663842837,0.0042411221036774555,0.01919266402555102,0.0017334849577455846,0.04292736549656002,0.0036519251513316975,-0.04683463585938513,0.0059319244655045705,-0.043794815460187465,0.0030188463381367395,0.03470710746920852,-0.0012173651647200828,-0.003958903408611894,-0.007284419785835654,-0.005771747120033218,-0.00429730501901094,0.08333291594255222,0.001196378157522937,0.006863725293013464,0.005100214768166183,-0.05303886697230232,0.0020733670741458488,0.007620371128884813,-0.0034959093154422046,0.01297155476324073,-0.0027321860599679067,10631.6503639029,11099.7509190602,9.271590714591147,0.043087232733197686
36,2000,2005,0.04547180030793197,0.1379522786031028,0.2581239972279955,0.12202536797330875,-0.005093468122160591,0.04511659090258117,-0.0014542544932605386,-0.0327442944875676,-0.00015196365674068762,-0.036007645967895484,0.0009083315952715665,0.02810210991723323,0.011440095817375439,0.026283261262741425,0.007699210134716809,-0.04076733456842902,0.006003531432085013,-0.03154211533138677,0.0023804516301549374,0.007441382373527182,0.0050189654337347974,-0.06353825119437399,-0.008884872114745757,-0.020920316474667563,0.0001731570792256297,0.05637953789502137,0.010605194536007265,-0.00542362378274951,0.0035051837542102587,0.002116132390991459,0.001252602908684433,-0.01679241405472952,-0.006348159369750698,-0.004812197193636887,-0.005427316544050941,45979.0765654048,50972.640519744,10.735941714718473,0.10310259264445065
