label,n,r2,spearman,p
Embedding scalars,778,0.04155210561706402,0.15225747912389992,1.9996845423447913e-05
Embedding full (centroids + delta),778,0.19752270328035926,0.40580953472881626,3.3450256985698534e-32
Embedding (income-controlled),778,0.1961999488843238,0.4146423040277036,1.1140924059613033e-33
